title,label1,label2,label3,label4,label5
Reconstructing Subject-Specific Effect Maps,CSC,,,,
Rotation Invariance Neural Network,CSC,,,,
Spherical polyharmonics and Poisson kernels for polyharmonic functions,,,,,
A finite element approximation for the stochastic Maxwell--Landau--Lifshitz--Gilbert system,,,,,
Comparative study of Discrete Wavelet Transforms and Wavelet Tensor Train decomposition to feature extraction of FTIR data of medicinal plants,CSC,,STA,,
On maximizing the fundamental frequency of the complement of an obstacle,,,,,
On the rotation period and shape of the hyperbolic asteroid 1I/`Oumuamua (2017) U1 from its lightcurve,,PHY,,,
Adverse effects of polymer coating on heat transport at solid-liquid interface,,PHY,,,
"SPH calculations of Mars-scale collisions: the role of the Equation of State, material rheologies, and numerical effects",,PHY,,,
$\mathcal{R}_{0}$ fails to predict the outbreak potential in the presence of natural-boosting immunity,,,,QBY,
A global sensitivity analysis and reduced order models for hydraulically-fractured horizontal wells,CSC,,,,
Role-separating ordering in social dilemmas controlled by topological frustration,,PHY,,,
Dynamics of exciton magnetic polarons in CdMnSe/CdMgSe quantum wells: the effect of self-localization,,PHY,,,
On Varieties of Ordered Automata,CSC,,,,
Direct Evidence of Spontaneous Abrikosov Vortex State in Ferromagnetic Superconductor EuFe$_2$(As$_{1-x}$P$_x$)$_2$ with $x=0.21$,,PHY,,,
A rank 18 Waring decomposition of $sM_{\langle 3\rangle}$ with 432 symmetries,,,,,
The PdBI Arcsecond Whirlpool Survey (PAWS). The Role of Spiral Arms in Cloud and Star Formation,,PHY,,,
Higher structure in the unstable Adams spectral sequence,,,,,
Comparing Covariate Prioritization via Matching to Machine Learning Methods for Causal Inference using Five Empirical Applications,,,STA,,
Acoustic Impedance Calculation via Numerical Solution of the Inverse Helmholtz Problem,,PHY,,,
Deciphering noise amplification and reduction in open chemical reaction networks,,,,QBY,
Many-Body Localization: Stability and Instability,,PHY,,,
Fault Detection and Isolation Tools (FDITOOLS) User's Guide,CSC,,,,
Complexity of Deciding Detectability in Discrete Event Systems,CSC,,,,
The Knaster-Tarski theorem versus monotone nonexpansive mappings,,,,,
Efficient methods for computing integrals in electronic structure calculations,,PHY,,,
Diffraction-Aware Sound Localization for a Non-Line-of-Sight Source,CSC,,,,
"Jacob's ladders, crossbreeding in the set of $ζ$-factorization formulas and selection of families of $ζ$-kindred real continuous functions",,,,,
Minimax Estimation of the $L_1$ Distance,,,STA,,
Density large deviations for multidimensional stochastic hyperbolic conservation laws,,PHY,,,
mixup: Beyond Empirical Risk Minimization,CSC,,STA,,
Equality of the usual definitions of Brakke flow,,,,,
Dynamic Base Station Repositioning to Improve Spectral Efficiency of Drone Small Cells,CSC,,,,
An Unsupervised Homogenization Pipeline for Clustering Similar Patients using Electronic Health Record Data,,,,QBY,
Deep Neural Network Optimized to Resistive Memory with Nonlinear Current-Voltage Characteristics,CSC,,,,
Rate-Distortion Region of a Gray-Wyner Model with Side Information,CSC,,,,
Fourier-based numerical approximation of the Weertman equation for moving dislocations,,PHY,,,
Design Decisions for Weave: A Real-Time Web-based Collaborative Visualization Framework,CSC,,,,
Suzaku Analysis of the Supernova Remnant G306.3-0.9 and the Gamma-ray View of Its Neighborhood,,PHY,,,
Japanese Sentiment Classification using a Tree-Structured Long Short-Term Memory with Attention,CSC,,,,
"Covariances, Robustness, and Variational Bayes",,,STA,,
Are multi-factor Gaussian term structure models still useful? An empirical analysis on Italian BTPs,,,,,QFI
Probing valley filtering effect by Andreev reflection in zigzag graphene nanoribbon,,PHY,,,
Generalized Approximate Message-Passing Decoder for Universal Sparse Superposition Codes,CSC,,,,
LAAIR: A Layered Architecture for Autonomous Interactive Robots,CSC,,,,
3D Human Pose Estimation in RGBD Images for Robotic Task Learning,CSC,,,,
Simultaneous non-vanishing for Dirichlet L-functions,,,,,
Wehrl Entropy Based Quantification of Nonclassicality for Single Mode Quantum Optical States,CSC,PHY,,,
Attention-based Natural Language Person Retrieval,CSC,,,,
Large Scale Automated Forecasting for Monitoring Network Safety and Security,,,STA,,
Contextual Regression: An Accurate and Conveniently Interpretable Nonlinear Model for Mining Discovery from Scientific Data,CSC,,STA,,
Multi-time correlators in continuous measurement of qubit observables,,PHY,,,
"Parallelism, Concurrency and Distribution in Constraint Handling Rules: A Survey",CSC,,,,
Robustness against the channel effect in pathological voice detection,CSC,,,,
An Effective Framework for Constructing Exponent Lattice Basis of Nonzero Algebraic Numbers,CSC,,,,
Competing evolutionary paths in growing populations with applications to multidrug resistance,,,,QBY,
Transient flows in active porous media,,PHY,,,
An information model for modular robots: the Hardware Robot Information Model (HRIM),CSC,,,,
