transaction_date,house_age,distance_to_nearest_MRT_station,number_of_convenience_stores,latitude,longitude,house_price_per_m2
2012.917,32.000,84.879,10,24.983,121.540,125.070
2012.917,19.500,306.595,9,24.980,121.540,139.260
2013.583,13.300,561.985,5,24.987,121.544,156.090
2013.500,13.300,561.985,5,24.987,121.544,180.840
2012.833,5.000,390.568,5,24.979,121.542,142.230
2012.667,7.100,2175.030,3,24.963,121.513,105.930
2012.667,34.500,623.473,7,24.979,121.536,132.990
2013.417,20.300,287.603,6,24.980,121.542,154.110
2013.500,31.700,5512.038,1,24.951,121.485,62.040
2013.417,17.900,1783.180,3,24.967,121.515,72.930
2013.083,34.800,405.213,1,24.973,121.534,136.620
2013.333,6.300,90.456,9,24.974,121.543,191.730
2012.917,13.000,492.231,5,24.965,121.537,129.690
2012.667,20.400,2469.645,4,24.961,121.510,78.540
2013.500,13.200,1164.838,4,24.992,121.534,113.190
2013.583,35.700,579.208,2,24.982,121.546,166.650
2013.250,0.000,292.998,6,24.977,121.545,231.330
2012.750,17.700,350.851,1,24.975,121.531,123.420
2013.417,16.900,368.136,8,24.968,121.545,139.590
2012.667,1.500,23.383,7,24.968,121.541,157.410
2013.417,4.500,2275.877,3,24.963,121.512,96.690
2013.417,10.500,279.173,7,24.975,121.545,170.280
2012.917,14.700,1360.139,1,24.952,121.548,81.180
2013.083,10.100,279.173,7,24.975,121.545,158.070
2013.000,39.600,480.698,4,24.974,121.539,128.040
2013.083,29.300,1487.868,2,24.975,121.517,89.100
2012.667,3.100,383.862,5,24.981,121.544,185.460
2013.250,10.400,276.449,5,24.956,121.539,110.880
2013.500,19.200,557.478,4,24.974,121.538,155.100
2013.083,7.100,451.244,5,24.976,121.547,188.430
2013.500,25.900,4519.690,0,24.948,121.496,72.930
2012.750,29.600,769.403,7,24.983,121.534,82.500
2012.750,37.900,488.573,1,24.973,121.535,112.860
2013.250,16.500,323.655,6,24.978,121.543,162.690
2012.750,15.400,205.367,7,24.984,121.542,181.830
2013.500,13.900,4079.418,0,25.015,121.518,90.090
2012.917,14.700,1935.009,2,24.964,121.515,75.570
2013.167,12.000,1360.139,1,24.952,121.548,83.490
2012.667,3.100,577.962,6,24.972,121.547,157.410
2013.167,16.200,289.325,5,24.982,121.543,152.460
2013.000,13.600,4082.015,0,24.942,121.504,52.470
2013.500,16.800,4066.587,0,24.943,121.503,60.060
2013.417,36.100,519.462,5,24.963,121.538,114.510
2012.750,34.400,512.787,6,24.987,121.543,112.530
2013.583,2.700,533.476,4,24.974,121.548,177.870
2013.083,36.600,488.819,8,24.970,121.545,126.390
2013.417,21.700,463.962,9,24.970,121.545,138.600
2013.583,35.900,640.739,3,24.976,121.537,202.950
2013.417,24.200,4605.749,0,24.947,121.496,44.220
2012.667,29.400,4510.359,1,24.949,121.495,43.560
2013.417,21.700,512.549,4,24.974,121.538,145.860
2013.083,31.300,1758.406,1,24.954,121.553,68.310
2013.583,32.100,1438.579,3,24.974,121.517,89.100
2013.083,13.300,492.231,5,24.965,121.537,128.370
2013.083,16.100,289.325,5,24.982,121.543,170.610
2012.833,31.700,1160.632,0,24.950,121.530,45.210
2013.417,33.600,371.250,8,24.973,121.541,138.270
2012.917,3.500,56.474,7,24.957,121.537,176.550
2013.500,30.300,4510.359,1,24.949,121.495,74.580
2013.083,13.300,336.053,5,24.958,121.534,139.920
2013.417,11.000,1931.207,2,24.964,121.515,70.290
2013.500,5.300,259.661,6,24.976,121.545,208.560
2012.917,17.200,2175.877,3,24.963,121.513,91.410
2013.583,2.600,533.476,4,24.974,121.548,181.500
2013.333,17.500,995.755,0,24.963,121.549,83.490
2013.417,40.100,123.743,8,24.976,121.543,146.190
2013.000,1.000,193.584,6,24.966,121.541,167.310
2013.500,8.500,104.810,5,24.967,121.541,187.440
2013.417,30.400,464.223,6,24.980,121.538,119.460
2012.833,12.500,561.985,5,24.987,121.544,138.600
2013.583,6.600,90.456,9,24.974,121.543,194.700
2013.083,35.500,640.739,3,24.976,121.537,134.640
2013.583,32.500,424.544,8,24.976,121.539,119.790
2013.167,13.800,4082.015,0,24.942,121.504,66.000
2012.917,6.800,379.558,10,24.983,121.538,179.520
2013.500,12.300,1360.139,1,24.952,121.548,97.350
2013.583,35.900,616.400,3,24.977,121.538,121.440
2012.833,20.500,2185.128,3,24.963,121.512,84.480
2012.917,38.200,552.437,2,24.976,121.534,98.340
2013.000,18.000,1414.837,1,24.952,121.549,87.450
2013.500,11.800,533.476,4,24.974,121.548,132.990
2013.000,30.800,377.796,6,24.964,121.540,121.440
2013.083,13.200,150.935,7,24.967,121.543,158.730
2012.917,25.300,2707.392,3,24.961,121.508,58.410
2013.083,15.100,383.281,7,24.967,121.545,144.210
2012.750,0.000,338.968,9,24.969,121.544,167.640
2012.833,1.800,1455.798,1,24.951,121.549,89.100
2013.583,16.900,4066.587,0,24.943,121.503,60.390
2012.917,8.900,1406.430,0,24.986,121.528,158.400
2013.500,23.000,3947.945,0,24.948,121.502,83.490
2012.833,0.000,274.014,1,24.975,121.531,149.820
2013.250,9.100,1402.016,0,24.986,121.528,142.560
2012.917,20.600,2469.645,4,24.961,121.510,71.940
2012.917,31.900,1146.329,0,24.949,121.531,53.130
2012.917,40.900,167.599,5,24.966,121.540,135.300
2012.917,8.000,104.810,5,24.967,121.541,170.940
2013.417,6.400,90.456,9,24.974,121.543,196.350
2013.083,28.400,617.442,3,24.977,121.533,114.180
2013.417,16.400,289.325,5,24.982,121.543,168.300
2013.417,6.400,90.456,9,24.974,121.543,205.260
2013.500,17.500,964.750,4,24.989,121.534,126.060
2012.833,12.700,170.129,1,24.974,121.530,108.570
2013.083,1.100,193.584,6,24.966,121.541,179.520
2012.750,0.000,208.391,6,24.956,121.538,150.810
2012.667,32.700,392.446,6,24.964,121.543,100.650
2012.833,0.000,292.998,6,24.977,121.545,234.300
2013.083,17.200,189.518,8,24.977,121.543,155.430
2013.333,12.200,1360.139,1,24.952,121.548,87.780
2013.417,31.400,592.501,2,24.973,121.536,112.530
2013.583,4.000,2147.376,3,24.963,121.513,93.720
2013.083,8.100,104.810,5,24.967,121.541,170.280
2013.583,33.300,196.617,7,24.977,121.542,130.020
2013.417,9.900,2102.427,3,24.960,121.515,76.230
2013.333,14.800,393.261,6,24.962,121.538,25.080
2012.667,30.600,143.838,8,24.982,121.541,175.890
2013.083,20.600,737.916,2,24.981,121.547,153.120
2013.000,30.900,6396.283,1,24.944,121.479,40.260
2013.000,13.600,4197.349,0,24.939,121.504,42.900
2013.500,25.300,1583.722,3,24.966,121.517,100.980
2013.500,16.600,289.325,5,24.982,121.543,196.680
2013.167,13.300,492.231,5,24.965,121.537,103.290
2013.500,13.600,492.231,5,24.965,121.537,158.400
2013.250,31.500,414.948,4,24.982,121.545,107.250
2013.417,0.000,185.430,0,24.971,121.532,150.150
2012.917,9.900,279.173,7,24.975,121.545,189.420
2013.167,1.100,193.584,6,24.966,121.541,160.380
2013.083,38.600,804.690,4,24.978,121.535,207.570
2013.250,3.800,383.862,5,24.981,121.544,181.500
2013.083,41.300,124.991,6,24.967,121.540,200.310
2013.417,38.500,216.833,7,24.981,121.542,135.300
2013.250,29.600,535.527,8,24.981,121.537,123.750
2013.500,4.000,2147.376,3,24.963,121.513,101.310
2013.167,26.600,482.758,5,24.974,121.539,123.750
2012.833,18.000,373.394,8,24.987,121.541,130.350
2012.667,33.400,186.969,6,24.966,121.542,139.260
2012.917,18.900,1009.235,0,24.964,121.550,68.640
2012.750,11.400,390.568,5,24.979,121.542,154.440
2013.500,13.600,319.071,6,24.965,121.543,156.420
2013.167,10.000,942.466,0,24.978,121.524,143.550
2012.667,12.900,492.231,5,24.965,121.537,140.250
2013.250,16.200,289.325,5,24.982,121.543,169.620
2013.333,5.100,1559.827,3,24.972,121.516,95.370
2013.417,19.800,640.607,5,24.970,121.546,123.750
2013.500,13.600,492.231,5,24.965,121.537,132.330
2013.083,11.900,1360.139,1,24.952,121.548,93.720
2012.917,2.100,451.244,5,24.976,121.547,150.150
2012.750,0.000,185.430,0,24.971,121.532,172.260
2012.750,3.200,489.882,8,24.970,121.545,142.560
2013.500,16.400,3780.590,0,24.933,121.512,148.830
2012.667,34.900,179.454,8,24.973,121.542,131.010
2013.250,35.800,170.731,7,24.967,121.543,160.050
2013.500,4.900,387.772,9,24.981,121.538,147.510
2013.333,12.000,1360.139,1,24.952,121.548,95.370
2013.250,6.500,376.171,6,24.954,121.537,134.970
2013.500,16.900,4066.587,0,24.943,121.503,68.310
2013.167,13.800,4082.015,0,24.942,121.504,51.480
2013.583,30.700,1264.730,0,24.949,121.530,60.390
2013.250,16.100,815.931,4,24.979,121.535,117.480
2013.000,11.600,390.568,5,24.979,121.542,130.020
2012.667,15.500,815.931,4,24.979,121.535,123.420
2012.917,3.500,49.661,8,24.958,121.538,190.740
2013.417,19.200,616.400,3,24.977,121.538,130.680
2012.750,16.000,4066.587,0,24.943,121.503,38.280
2013.500,8.500,104.810,5,24.967,121.541,183.150
2012.833,0.000,185.430,0,24.971,121.532,182.160
2012.917,13.700,1236.564,1,24.977,121.554,100.980
2013.417,0.000,292.998,6,24.977,121.545,242.880
2013.417,28.200,330.085,8,24.974,121.540,143.220
2013.083,27.600,515.112,5,24.963,121.543,123.420
2013.417,8.400,1962.628,1,24.955,121.555,77.550
2013.333,24.000,4527.687,0,24.947,121.496,47.520
2013.083,3.600,383.862,5,24.981,121.544,194.040
2013.583,6.600,90.456,9,24.974,121.543,191.730
2013.083,41.300,401.881,4,24.983,121.545,115.830
2013.417,4.300,432.038,7,24.980,121.538,149.160
2013.083,30.200,472.175,3,24.970,121.538,120.450
2012.833,13.900,4573.779,0,24.949,121.495,63.360
2013.083,33.000,181.077,9,24.977,121.543,138.600
2013.500,13.100,1144.436,4,24.992,121.535,121.110
2013.083,14.000,438.851,1,24.975,121.527,140.580
2012.667,26.900,4449.270,0,24.949,121.496,51.150
2013.167,11.600,201.894,8,24.985,121.541,184.470
2013.500,13.500,2147.376,3,24.963,121.513,77.880
2013.500,17.000,4082.015,0,24.942,121.504,62.040
2012.750,14.100,2615.465,0,24.955,121.562,71.940
2012.750,31.400,1447.286,3,24.973,121.517,70.950
2013.167,20.900,2185.128,3,24.963,121.512,84.810
2013.000,8.900,3078.176,0,24.955,121.566,72.600
2012.917,34.800,190.039,8,24.977,121.543,146.190
2012.917,16.300,4066.587,0,24.943,121.503,67.650
2013.500,35.300,616.573,8,24.979,121.536,139.590
2013.167,13.200,750.070,2,24.974,121.550,124.740
2013.167,43.800,57.589,7,24.968,121.541,140.910
2013.417,9.700,421.479,5,24.982,121.545,162.690
2013.500,15.200,3771.895,0,24.934,121.512,96.690
2013.333,15.200,461.102,5,24.954,121.540,114.180
2013.000,22.800,707.907,2,24.981,121.547,120.780
2013.250,34.400,126.729,8,24.969,121.541,159.060
2013.083,34.000,157.605,7,24.966,121.542,129.030
2013.417,18.200,451.642,8,24.969,121.545,104.280
2013.417,17.400,995.755,0,24.963,121.549,84.150
2013.417,13.100,561.985,5,24.987,121.544,151.470
